"ComputerName","Enabled","LastLogonDate","Error"
"BRCPQWN3090272","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3090272' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWD3002117","N/A","N/A","Cannot find an object with identity: 'BRCPQWD3002117' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3093470","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3093470' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRPPYWD3088419","N/A","N/A","Cannot find an object with identity: 'BRPPYWD3088419' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3125247","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3125247' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWD3100542","N/A","N/A","Cannot find an object with identity: 'BRBRIWD3100542' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3129070","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3129070' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRNSRWN3091108","N/A","N/A","Cannot find an object with identity: 'BRNSRWN3091108' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRGRUWD3085173","N/A","N/A","Cannot find an object with identity: 'BRGRUWD3085173' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3090847","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3090847' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRQOCWN3118549","N/A","N/A","Cannot find an object with identity: 'BRQOCWN3118549' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3117376","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3117376' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3117387","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3117387' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3088206","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3088206' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWD3084115","N/A","N/A","Cannot find an object with identity: 'BRLOZWD3084115' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3129069","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3129069' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRAPSWN3061269","N/A","N/A","Cannot find an object with identity: 'BRAPSWN3061269' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWD3002154","N/A","N/A","Cannot find an object with identity: 'BRCPQWD3002154' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPSWN3129610","N/A","N/A","Cannot find an object with identity: 'BRCPSWN3129610' under: 'DC=phx-dc,DC=dhl,DC=com'."
